DATE,DYAD_CODE,LOCATION,CCODE1,CCODE2,BCCODE1,BCCODE2,COUNTRY_LIST,NUMBER_OF_Countries,BAR_Scale,EVENT_SUMMARY,,"Product of the Transboundary Freshwater Dispute Database, College of Earth, Ocean, and Atmospheric Sciences, Oregon State University.  Additional information about the TFDD can be found at: http://transboundarywaters.science.oregonstate.edu. "
3/16/1948,EGY_INT,NILE,EGY,INT,NILE_EGY,NILE_INT,Egypt (internal),1,3,Egypt lays to four foundation stone of Aswan hydroelectric plant,,
4/1/1948,IND_PAK,Indus,IND,PAK,INDU_IND,INDU_PAK,India--Pakistan,2,-3,"The ""Standstill Agreement"" between India and Pakistan expires and, in the absence of a new agreement, India discontinues the delivery of water to the Dipalpur Canal and the main branches of the Upper Bari Daab Canal.",,
5/4/1948,IND_PAK,Indus,IND,PAK,INDU_IND,INDU_PAK,India--Pakistan,2,3,"At an Inter-Dominian conference between India and Pakistan held in Delhi on 3-4 May 1948, India agreed to resume the delivery of water to Pakistan through the Dipalpur Canal and the main branches of the Upper Bari Daab Canal.  India maintained, however, that Pakistan could not claim any share of those waters as a matter of right.  An agreement was signed, later referred to at the Delhi Agreement.",,
7/8/1948,FRA_ITA,ROIA,FRA,ITA,ROIA_FRA,ROIA_ITA,France--Italy,2,4,Italy and France build dam on Roya River in exchange for ceded land,,
7/30/1948,CZS_GBR,DANUBE,CZS,GBR,DANU_CZS,DANU_GBR,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,1,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",,
7/30/1948,HUN_YGF,DANUBE,HUN,YGF,DANU_HUN,DANU_YGF,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,1,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",,
7/30/1948,HUN_ROM,DANUBE,HUN,ROM,DANU_HUN,DANU_ROM,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,1,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",,
7/30/1948,HUN_USR,DANUBE,HUN,USR,DANU_HUN,DANU_USR,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,1,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",,
7/30/1948,USR_YGF,DANUBE,USR,YGF,DANU_USR,DANU_YGF,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,1,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",,
7/30/1948,ROM_YGF,DANUBE,ROM,YGF,DANU_ROM,DANU_YGF,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,1,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",,
7/30/1948,ROM_USR,DANUBE,ROM,USR,DANU_ROM,DANU_USR,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,1,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",,
7/30/1948,AUT_YGF,DANUBE,AUT,YGF,DANU_AUT,DANU_YGF,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,1,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",,
7/30/1948,AUT_ROM,DANUBE,AUT,ROM,DANU_AUT,DANU_ROM,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,1,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",,
7/30/1948,AUT_HUN,DANUBE,AUT,HUN,DANU_AUT,DANU_HUN,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,1,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",,
7/30/1948,AUT_CZS,DANUBE,AUT,CZS,DANU_AUT,DANU_CZS,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,1,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",,
7/30/1948,HUN_USA,DANUBE,HUN,USA,DANU_HUN,DANU_USA,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,1,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",,
7/30/1948,CZS_USA,DANUBE,CZS,USA,DANU_CZS,DANU_USA,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,1,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",,
7/30/1948,ROM_USA,DANUBE,ROM,USA,DANU_ROM,DANU_USA,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,1,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",,
