Date,Timeframe,Home/Away,Opponent,W/L ,Sets Played,K,E,TA,%,AST,E,SA,SE,RE,Dig,BS,BA,BE,TB,,
8/27/2021,Early,Home,Colgate,W,3,0,0,0,0,6,0,0,0,0,15,0,0,0,0,0,0
8/28/2021,Early,Home,Kansas St.,W,4,0,0,0,0,1,0,0,1,0,21,0,0,0,0,0,0
9/3/2021,Early,Home,Omaha,W,5,0,0,1,0,0,0,1,0,1,24,0,0,0,0,0,1
9/3/2021,Early,Home,Georgia,W,4,0,0,1,0,9,0,1,1,1,10,0,0,0,0,0,1
9/4/2021,Early,Home,Arizona St.,W,3,0,0,0,0,4,0,1,3,0,12,0,0,0,0,0,1
9/8/2021,Early,Away,at Creighton,W,3,0,0,1,0,3,0,0,1,0,17,0,0,0,0,0,0
9/11/2021,Early,Home,Utah,L,5,1,0,1,1,7,0,0,1,0,15,0,0,0,0,0,1
9/14/2021,Early,Away,at Stanford,L,4,0,0,0,0,2,0,0,1,0,16,0,0,0,0,0,0
9/18/2021,Early,Home,Louisville,L,3,0,0,0,0,4,0,0,1,0,6,0,0,0,0,0,0
9/22/2021,Early,Away,at Northwestern,W,4,0,0,1,0,1,0,0,1,0,7,0,0,0,0,0,0
9/25/2021,Early,Home,Iowa,W,3,0,0,0,0,2,0,1,0,0,10,0,0,0,0,0,1
10/1/2021,Mid,Home,Michigan,W,3,0,0,0,0,2,0,0,2,1,8,0,0,0,0,0,0
10/3/2021,Mid,Home,Michigan St.,W,3,0,0,0,0,2,0,0,1,1,17,0,0,0,0,0,0
10/8/2021,Mid,Away,at Penn St.,W,4,0,0,0,0,4,0,0,3,0,19,0,0,0,0,0,0
10/10/2021,Mid,Away,at Rutgers,W,3,0,0,0,0,4,0,2,1,0,17,0,0,0,0,0,2
10/13/2021,Mid,Home,Indiana,W,3,0,0,0,0,9,0,1,0,1,9,0,0,0,0,0,1
10/16/2021,Mid,Home,Illinois,W,3,0,0,0,0,3,0,0,4,0,17,0,0,0,0,0,0
10/20/2021,Mid,Away,at Iowa,W,3,0,0,0,0,3,0,2,0,0,17,0,0,0,0,0,2
10/23/2021,Mid,Home,Purdue,W,4,0,0,1,0,6,0,0,2,1,24,0,0,0,0,0,0
10/27/2021,Mid,Home,Wisconsin,L,3,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0
10/30/2021,Mid,Away,at Minnesota,L,5,0,0,0,0,5,0,0,0,2,28,0,0,0,0,0,0
11/4/2021,End,Away,at Illinois,W,3,0,0,0,0,5,0,0,1,1,14,0,0,0,0,0,0
11/6/2021,End,Away,at Ohio St.,L,3,0,0,1,0,4,0,1,2,0,10,0,0,0,0,0,1
11/12/2021,End,Home,Maryland,W,3,0,0,0,0,5,0,1,0,0,22,0,0,0,0,0,1
11/14/2021,End,Away,at Indiana,W,4,0,0,1,0,6,1,3,3,0,22,0,0,0,0,0,3
11/19/2021,End,Home,Penn St.,W,3,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0
11/26/2021,End,Away,at Wisconsin,L,4,0,0,0,0,5,0,0,1,1,13,0,0,0,0,0,0
11/27/2021,End,Away,at Purdue,W,4,0,0,1,0,4,0,0,2,0,28,0,0,0,0,0,0
12/3/2021,End,Home,Campbell,W,3,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0
12/4/2021,End,Home,Florida St.,W,3,0,0,0,0,6,0,0,1,1,18,0,0,0,0,0,0
12/9/2021,End,Neutral ,vs Illinois,W,3,0,0,0,0,4,0,1,1,2,8,0,0,0,0,1,1
12/11/2021,End,Away,at Texas,W,4,0,0,2,0,4,0,1,0,0,20,0,0,0,0,0,1
12/16/2021,End,Neutral ,vs Pittsburgh,W,4,0,0,0,0,3,0,0,1,2,13,0,0,0,0,0,0
12/18/2021,End,Neutral ,vs Wisconsin,L,5,0,0,0,0,4,0,0,1,1,13,0,0,0,0,0,0
