,Sex,Age (y),Dominant Hand,Height in,Weight lbs,Exercise Performed,,myst.1,myst.2,myst.3,myst.4
1,M,26,R,69,185,T,,5,9,1.75,84.09
2,F,21,R,62,120,T,,5,2,1.57,54.55
3,F,21,R,65,165,T,,5,5,1.65,75.00
4,M,20,R,73,217,C,,6,1,1.85,98.64
5,M,22,R,77,235,C,,6,5,1.96,106.82
6,F,20,R,63,150,T,,5,3,1.60,68.18
7,F,20,R,66,185,T,,5,6,1.68,84.09
8,F,21,R,65,145,C,,5,5,1.65,65.91
9,F,21,R,63,155,C,,5,3,1.60,70.45
10,F,22,,66,112,T,,5,6,1.68,50.91
11,M,23,,73,178,C,,6,1,1.85,80.91
12,F,25,,68,135,T,,5,8,1.73,61.36
13,F,21,,64,135,C,,5,4,1.63,61.36
14,F,23,,66,130,C,,5,6,1.68,59.09
15,M,22,,72,197,C,,6,0,1.83,89.55
16,M,22,R,68,150,T,,5,8,1.73,68.18
17,M,24,,71,178,T,,5,11,1.80,80.91
18,F,23,R,67,145,T,,5,7,1.70,65.91
19,F,25,,64,130,T,,5,4,1.63,59.09
20,F,22,,67,135,T,,5,7,1.70,61.36
21,M,22,R,74,190,C,,6,2,1.88,86.36
22,F,22,,67,140,C,,5,7,1.70,63.64
23,M,22,R,73,175,C,,6,1,1.85,79.55
24,M,24,R,72,205,T,,6,0,1.83,93.18
25,F,20,,64,135,T,,5,4,1.63,61.36
26,M,22,R,74,190,T,,6,2,1.88,86.36
27,F,22,R,66,140,T,,5,6,1.68,63.64
28,F,23,R,60,163,C,,5,0,1.52,74.09
29,F,20,R,69,155,C,,5,9,1.75,70.45
30,F,20,R,64,,C,,5,4,1.63,
31,F,23,R,72,190,C,,6,0,1.83,86.36
