Group,Change in GA Proportion ,Pre-Training GA Proportion,Post-Training GA Proportion
Resistance,-0.33,0.59,0.26
Resistance,-0.26,0.55,0.29
Resistance,-0.28,0.62,0.34
Resistance,-0.34,0.61,0.27
Resistance,-0.35,0.57,0.22
Resistance,-0.33,0.64,0.31
Resistance,-0.25,0.56,0.31
Resistance,-0.31,0.64,0.33
Resistance,-0.35,0.62,0.27
Resistance,-0.32,0.61,0.29
Resistance,-0.26,0.61,0.35
Resistance,-0.27,0.65,0.38
Resistance,-0.32,0.64,0.32
Resistance,-0.29,0.65,0.36
Resistance,-0.26,0.6,0.34
Resistance,-0.34,0.65,0.31
Resistance,-0.35,0.63,0.28
Resistance,-0.3,0.62,0.32
Resistance,-0.33,0.61,0.28
Resistance,-0.28,0.64,0.36
Plyometric,-0.32,0.63,0.31
Plyometric,-0.26,0.63,0.37
Plyometric,-0.3,0.59,0.29
Plyometric,-0.25,0.64,0.39
Plyometric,-0.3,0.63,0.33
Plyometric,-0.31,0.64,0.33
Plyometric,-0.34,0.55,0.21
Plyometric,-0.3,0.58,0.28
Plyometric,-0.32,0.55,0.23
Plyometric,-0.27,0.55,0.28
Plyometric,-0.27,0.59,0.32
Plyometric,-0.33,0.55,0.22
Plyometric,-0.34,0.62,0.28
Plyometric,-0.29,0.57,0.28
Plyometric,-0.33,0.56,0.23
Plyometric,-0.27,0.55,0.28
Plyometric,-0.34,0.64,0.3
Plyometric,-0.35,0.57,0.22
Plyometric,-0.35,0.6,0.25
Plyometric,-0.28,0.62,0.34
Control,0,0.63,0.63
Control,0,0.55,0.55
Control,0,0.58,0.58
Control,0,0.58,0.58
Control,0,0.64,0.64
Control,0,0.56,0.56
Control,0,0.6,0.6
Control,0,0.59,0.59
Control,0,0.55,0.55
Control,0,0.6,0.6
Control,0,0.56,0.56
Control,0,0.59,0.59
Control,0,0.56,0.56
Control,0,0.61,0.61
Control,0,0.63,0.63
Control,0,0.55,0.55
Control,0,0.63,0.63
Control,0,0.55,0.55
Control,0,0.62,0.62
Control,0,0.58,0.58
