Group,Subject,Pre-Training GA Proportion,Post-Training GA Proportion
Resistance,1,40,73
Resistance,2,42,75
Resistance,3,43,75
Resistance,4,57,84
Resistance,5,40,70
Resistance,6,57,86
Resistance,7,50,85
Resistance,8,53,84
Resistance,9,40,65
Resistance,10,50,78
Resistance,11,50,83
Resistance,12,54,88
Resistance,13,49,79
Resistance,14,57,87
Resistance,15,49,83
Resistance,16,51,82
Resistance,17,56,81
Resistance,18,52,79
Resistance,19,59,88
Resistance,20,48,81
Plyometric,1,40,72
Plyometric,2,42,68
Plyometric,3,49,83
Plyometric,4,48,80
Plyometric,5,52,79
Plyometric,6,55,86
Plyometric,7,41,72
Plyometric,8,41,69
Plyometric,9,60,94
Plyometric,10,49,74
Plyometric,11,43,76
Plyometric,12,53,86
Plyometric,13,48,75
Plyometric,14,48,74
Plyometric,15,51,84
Plyometric,16,40,65
Plyometric,17,43,68
Plyometric,18,47,75
Plyometric,19,57,88
Plyometric,20,60,94
Control,1,42,42
Control,2,48,48
Control,3,59,59
Control,4,53,53
Control,5,44,44
Control,6,41,41
Control,7,58,58
Control,8,44,44
Control,9,45,45
Control,10,56,56
Control,11,43,43
Control,12,50,50
Control,13,52,52
Control,14,47,47
Control,15,58,58
Control,16,53,53
Control,17,48,48
Control,18,44,44
Control,19,41,41
Control,20,47,47
