"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","USA","United States","2010","2010",92,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","USA","United States","2011","2011",91,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","USA","United States","2012","2012",90,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","USA","United States","2013","2013",91,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","USA","United States","2014","2014",92,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","USA","United States","2015","2015",92,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","USA","United States","2016","2016",93,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","USA","United States","2017","2017",93,"E","Estimated value"
"ACATHEPB","Immunisation: Hepatitis B","ENFANTTX","% of children immunised","USA","United States","2018","2018",91,"E","Estimated value"
"ACATIFLU","Immunisation: Influenza","FLUAGETX","% of population aged 65 years and over","USA","United States","2010","2010",63.6,,
"ACATIFLU","Immunisation: Influenza","FLUAGETX","% of population aged 65 years and over","USA","United States","2011","2011",67,,
"ACATIFLU","Immunisation: Influenza","FLUAGETX","% of population aged 65 years and over","USA","United States","2012","2012",66.5,,
"ACATIFLU","Immunisation: Influenza","FLUAGETX","% of population aged 65 years and over","USA","United States","2013","2013",67.9,,
"ACATIFLU","Immunisation: Influenza","FLUAGETX","% of population aged 65 years and over","USA","United States","2014","2014",70,,
"ACATIFLU","Immunisation: Influenza","FLUAGETX","% of population aged 65 years and over","USA","United States","2015","2015",69.1,,
"ACATIFLU","Immunisation: Influenza","FLUAGETX","% of population aged 65 years and over","USA","United States","2016","2016",67.2,,
"ACATIFLU","Immunisation: Influenza","FLUAGETX","% of population aged 65 years and over","USA","United States","2017","2017",67.8,,
"ACATIFLU","Immunisation: Influenza","FLUAGETX","% of population aged 65 years and over","USA","United States","2018","2018",68.7,,
"ACATIFLU","Immunisation: Influenza","FLUAGETX","% of population aged 65 years and over","USA","United States","2019","2019",70.5,"B","Break"
"ACATIMMU","Immunisation: Diphtheria, Tetanus, Pertussis","ENFANTTX","% of children immunised","USA","United States","2010","2010",95,"E","Estimated value"
"ACATIMMU","Immunisation: Diphtheria, Tetanus, Pertussis","ENFANTTX","% of children immunised","USA","United States","2011","2011",96,"E","Estimated value"
"ACATIMMU","Immunisation: Diphtheria, Tetanus, Pertussis","ENFANTTX","% of children immunised","USA","United States","2012","2012",94,"E","Estimated value"
"ACATIMMU","Immunisation: Diphtheria, Tetanus, Pertussis","ENFANTTX","% of children immunised","USA","United States","2013","2013",94,"E","Estimated value"
"ACATIMMU","Immunisation: Diphtheria, Tetanus, Pertussis","ENFANTTX","% of children immunised","USA","United States","2014","2014",95,"E","Estimated value"
"ACATIMMU","Immunisation: Diphtheria, Tetanus, Pertussis","ENFANTTX","% of children immunised","USA","United States","2015","2015",95,"E","Estimated value"
"ACATIMMU","Immunisation: Diphtheria, Tetanus, Pertussis","ENFANTTX","% of children immunised","USA","United States","2016","2016",95,"E","Estimated value"
"ACATIMMU","Immunisation: Diphtheria, Tetanus, Pertussis","ENFANTTX","% of children immunised","USA","United States","2017","2017",95,"E","Estimated value"
"ACATIMMU","Immunisation: Diphtheria, Tetanus, Pertussis","ENFANTTX","% of children immunised","USA","United States","2018","2018",94,"E","Estimated value"
"ACATMEAS","Immunisation: Measles","ENFANTTX","% of children immunised","USA","United States","2010","2010",92,"E","Estimated value"
"ACATMEAS","Immunisation: Measles","ENFANTTX","% of children immunised","USA","United States","2011","2011",92,"E","Estimated value"
"ACATMEAS","Immunisation: Measles","ENFANTTX","% of children immunised","USA","United States","2012","2012",91,"E","Estimated value"
"ACATMEAS","Immunisation: Measles","ENFANTTX","% of children immunised","USA","United States","2013","2013",92,"E","Estimated value"
"ACATMEAS","Immunisation: Measles","ENFANTTX","% of children immunised","USA","United States","2014","2014",92,"E","Estimated value"
"ACATMEAS","Immunisation: Measles","ENFANTTX","% of children immunised","USA","United States","2015","2015",92,"E","Estimated value"
"ACATMEAS","Immunisation: Measles","ENFANTTX","% of children immunised","USA","United States","2016","2016",92,"E","Estimated value"
"ACATMEAS","Immunisation: Measles","ENFANTTX","% of children immunised","USA","United States","2017","2017",92,"E","Estimated value"
