Year,Tms,G,Time,Time/9I,Inn,Inn%,R/G,PA/G,Pitches/PA,Batters/G,Pitchers/G,PH/G,PR/G,Batters/S,Pitchers/S,Attendance,Attend/G,Lg Payroll*,Payroll/Tm*
2022,20,75,3:11,3:09,5,6.67,8.47,74.7,3.93,10.3,4.97,0.65,0.18,13.1,15,"2,269,449","30,259","$3,885,098,156 ","$194,254,907 "
2021,30,2429,3:11,3:10,216,8.89,9.06,74.8,3.91,10.3,4.43,1.22,0.13,26.5,34.4,"45,304,109","18,651","$3,612,337,893 ","$120,411,263 "
2020,30,898,3:06,3:07,68,7.57,9.29,74,3.97,10.4,4.43,0.65,0.23,20.7,25.7,,,,
2019,30,2429,3:10,3:05,208,8.56,9.66,76.8,3.93,10.3,4.41,1.18,0.14,24.9,31,"68,506,896","28,203","$3,999,627,072 ","$133,320,902 "
2018,30,2431,3:04,3:00,216,8.89,8.9,76.1,3.9,10.4,4.36,1.16,0.16,24.7,29.7,"69,671,272","28,659","$3,963,996,903 ","$132,133,230 "
2017,30,2430,3:08,3:05,182,7.49,9.29,76.2,3.89,10.3,4.22,1.13,0.15,24.2,28,"72,678,797","29,908","$3,983,892,634 ","$132,796,421 "
2016,30,2428,3:04,3:00,185,7.62,8.96,76,3.88,10.4,4.15,1.12,0.16,24.2,27.5,"73,159,044","30,131","$3,761,011,880 ","$125,367,062 "
2015,30,2429,3:00,2:56,212,8.73,8.5,75.6,3.83,10.4,4.11,1.16,0.18,24.5,27,"73,719,340","30,349","$3,680,887,206 ","$122,696,240 "
2014,30,2430,3:07,3:02,232,9.55,8.13,75.7,3.83,10.3,3.98,1.14,0.17,24.8,24.8,"73,739,622","30,345","$3,398,869,156 ","$113,295,638 "
2013,30,2431,3:04,2:58,243,10,8.33,76,3.84,10.3,3.95,1.12,0.17,24.5,24.2,"74,027,037","30,451","$3,150,727,861 ","$105,024,262 "
2012,30,2430,3:00,2:55,192,7.9,8.65,75.8,3.83,10.3,3.99,1.14,0.18,24.7,24.1,"74,859,268","30,806","$2,950,092,506 ","$98,336,416 "
2011,30,2429,2:56,2:51,237,9.76,8.57,76.3,3.82,10.3,3.86,1.08,0.19,24.5,23.6,"73,425,667","30,228","$2,872,256,542 ","$95,741,884 "
2010,30,2430,2:54,2:50,220,9.05,8.77,76.3,3.83,10.3,3.87,1.14,0.18,24,22.8,"73,061,763","30,066","$2,757,480,197 ","$91,916,006 "
2009,30,2430,2:55,2:51,195,8.02,9.23,77,3.83,10.3,3.93,1.12,0.16,23.7,24.3,"73,430,580","30,218","$2,791,645,244 ","$93,054,841 "
2008,30,2428,2:55,2:50,208,8.57,9.3,77.3,3.81,10.4,3.92,1.18,0.19,24.5,23.3,"78,624,315","32,382","$2,694,090,063 ","$89,803,002 "
2007,30,2431,2:55,2:51,220,9.05,9.59,77.6,3.77,10.5,3.97,1.18,0.2,23.9,23.9,"79,484,718","32,696","$2,499,198,987 ","$83,306,632 "
2006,30,2429,2:51,2:48,185,7.62,9.72,77.4,3.76,10.4,3.85,1.15,0.19,23.8,23.3,"76,043,902","31,306","$2,337,874,617 ","$77,929,153 "
2005,30,2431,2:49,2:46,182,7.49,9.18,76.6,3.74,10.4,3.71,1.16,0.18,23.5,21.8,"74,915,268","30,816","$2,189,013,398 ","$72,967,113 "
2004,30,2428,2:51,2:47,218,8.98,9.63,77.6,3.77,10.4,3.76,1.15,0.19,23.7,22.7,"73,022,972","30,075","$2,078,657,943 ","$69,288,598 "
2003,30,2430,2:49,2:46,197,8.11,9.46,77.1,3.74,10.4,3.67,1.17,0.19,23.7,22.5,"67,630,052","27,831","$2,128,862,128 ","$70,962,070 "
2002,30,2426,2:56,2:52,201,8.29,9.24,76.9,3.74,10.5,3.63,1.16,0.21,23.4,22,"67,944,389","28,006","$2,028,877,522 ","$67,629,250 "
2001,30,2429,2:58,2:54,196,8.07,9.55,77,3.73,10.5,3.63,1.18,0.19,24.4,21.7,"72,581,101","29,881","$1,969,086,313 ","$65,636,210 "
2000,30,2429,3:01,2:57,202,8.32,10.28,78.3,3.76,10.6,3.54,1.19,0.23,25.1,22.5,"71,358,907","29,377","$1,685,767,602 ","$56,192,253 "
1999,30,2428,2:57,2:53,191,7.87,10.17,78.1,3.74,10.6,3.56,1.19,0.19,23.2,21.4,"70,139,380","28,887","$1,503,589,250 ","$50,119,641 "
1998,30,2432,2:52,2:47,207,8.51,9.58,77.4,,10.6,3.46,1.18,0.19,24.2,20.8,"70,601,147","29,030","$1,285,345,371 ","$42,844,845 "
1997,28,2266,2:56,2:52,196,8.65,9.53,77.5,,10.6,3.5,1.23,0.22,24.5,21.2,"63,168,689","27,876","$1,127,440,885 ","$40,265,745 "
1996,28,2267,2:55,2:51,218,9.62,10.07,78.2,,10.7,3.44,1.27,0.21,24.9,21.1,"60,097,381","26,509","$958,715,050 ","$34,239,823 "
1995,28,2017,2:54,2:50,180,8.92,9.69,77.7,,10.7,3.45,1.31,0.21,23.5,22.1,"50,469,236","25,021","$951,698,367 ","$33,989,227 "
1994,28,1600,2:57,2:53,143,8.94,9.85,77.8,,10.4,3.33,1.15,0.19,19.9,17.6,"50,010,016","31,256","$928,257,287 ","$33,152,045 "
1993,28,2269,2:52,2:48,196,8.64,9.2,76.9,,10.6,3.27,1.22,0.22,23.3,19.8,"70,257,938","30,964","$903,115,234 ","$32,254,115 "
1992,26,2106,2:54,2:49,210,9.97,8.23,76.2,,10.7,3.15,1.24,0.22,23.8,18.2,"55,870,466","26,529","$803,497,323 ","$30,903,743 "
1991,26,2104,2:54,2:48,220,10.46,8.62,76.4,3.68,10.9,3.13,1.34,0.26,24.2,19.2,"56,813,760","27,002","$613,253,418 ","$23,586,669 "
1990,26,2105,2:51,2:47,182,8.65,8.51,76.2,,10.8,3.02,1.32,0.24,24.2,20,"54,823,768","26,044","$460,267,193 ","$17,702,584 "
