Student code,Section,Total Stones,Stones per week ,Projected End,,,,
a3g,TR,33.00,3.67,55.00,,,,
c6a,TR,24.00,2.67,42.67,,,,
d3n,MW,7.00,0.78,12.44,,,,
e1D,MW,19.00,2.11,33.78,,,,
e5r,TR,28.00,3.11,49.78,,,,
h2i,TR,17.00,1.89,30.22,,,,
h5r,TR,39.00,4.33,55.00,,,,
h8t,MW,32.00,3.56,55.00,,,,
h9s,MW,19.00,2.11,33.78,,,,
i4r,MW,15.00,1.67,26.67,,,,
i5s,MW,18.00,2.00,32.00,,,,
i7e,MW,27.00,3.00,48.00,,,,
l2f,MW,24.00,2.67,42.67,,,,
l4n,TR,22.00,2.44,39.11,,,,
l6l,TR,14.00,1.56,24.89,,,,
l6r,TR,25.00,2.78,44.44,,,,
l7n,TR,15.00,1.67,26.67,,,,
l8m,TR,39.00,4.33,55.00,,,,
l8n,MW,7.00,0.78,12.44,,,,
l8n,MW,24.00,2.67,42.67,,,,
l8s,TR,32.00,3.56,55.00,,,,
l8t,TR,33.00,3.67,55.00,,,,
l8y,MW,30.00,3.33,53.33,,,,
n2l,MW,18.00,2.00,32.00,,,,
n4s,TR,19.00,2.11,33.78,,,,
o0r,TR,22.00,2.44,39.11,,,,
o1a,TR,9.00,1.00,16.00,,,,
o7y,TR,34.00,3.78,55.00,,,,
o9t,MW,29.00,3.22,51.56,,,,
r1s,TR,25.00,2.78,44.44,,,,
r4t,MW,7.00,0.78,12.44,,,,
s1z,MW,25.00,2.78,44.44,,,,
s6i,TR,43.00,4.78,55.00,,,,
s6n,TR,25.00,2.78,44.44,,,,
t3y,MW,26.00,2.89,46.22,,,,
t4m,TR,34.00,3.78,55.00,,,,
t5i,MW,20.00,2.22,35.56,,,,
u3e,MW,16.00,1.78,28.44,,,,
v1s,MW,29.00,3.22,51.56,,,,
v4a,MW,20.00,2.22,35.56,,,,
v4r,MW,23.00,2.56,40.89,,,,
